Date,Store ID,Product ID,Units Sold,Price,Discount,Inventory Level,Competitor Pricing,Holiday/Promotion,Weather Condition,lag1_units,lag2_units,lag3_units,rolling_3d_avg,price_gap,day_of_week,month,year,is_weekend,promo_flag,weather_idx,next_day_units_sold
2022-02-24,S001,P0001,177,25.72,10,277,29.31,1,Snowy,129.0,191.0,337.0,219.0,-3.59,3,2,2022,0,1,2,214.0
2022-02-25,S001,P0001,214,10.85,20,399,14.28,1,Cloudy,177.0,129.0,191.0,165.66666666666666,-3.4299999999999997,4,2,2022,0,1,0,106.0
2022-02-26,S001,P0001,106,52.53,10,167,54.21,0,Snowy,214.0,177.0,129.0,173.33333333333334,-1.6799999999999997,5,2,2022,1,0,2,68.0
2022-02-27,S001,P0001,68,34.84,10,129,38.22,1,Rainy,106.0,214.0,177.0,165.66666666666666,-3.3799999999999955,6,2,2022,1,1,1,344.0
2022-02-28,S001,P0001,344,89.39,10,361,86.89,1,Snowy,68.0,106.0,214.0,129.33333333333334,2.5,0,2,2022,0,1,2,28.0
2022-03-01,S001,P0001,28,15.95,5,263,13.91,0,Snowy,344.0,68.0,106.0,172.66666666666666,2.039999999999999,1,3,2022,0,0,2,93.0
2022-03-02,S001,P0001,93,58.52,15,216,58.92,1,Snowy,28.0,344.0,68.0,146.66666666666666,-0.3999999999999986,2,3,2022,0,1,2,36.0
2022-03-03,S001,P0001,36,14.01,0,304,12.87,1,Snowy,93.0,28.0,344.0,155.0,1.1400000000000006,3,3,2022,0,1,2,284.0
2022-03-04,S001,P0001,284,33.06,15,338,34.47,0,Snowy,36.0,93.0,28.0,52.333333333333336,-1.4099999999999966,4,3,2022,0,0,2,282.0
2022-03-05,S001,P0001,282,27.67,10,496,28.65,0,Sunny,284.0,36.0,93.0,137.66666666666666,-0.9799999999999969,5,3,2022,1,0,3,192.0
2022-03-06,S001,P0001,192,62.37,10,463,64.64,1,Cloudy,282.0,284.0,36.0,200.66666666666666,-2.270000000000003,6,3,2022,1,1,0,348.0
2022-03-07,S001,P0001,348,98.99,5,380,97.93,0,Rainy,192.0,282.0,284.0,252.66666666666666,1.059999999999988,0,3,2022,0,0,1,32.0
2022-03-08,S001,P0001,32,95.9,20,394,98.49,1,Sunny,348.0,192.0,282.0,274.0,-2.589999999999989,1,3,2022,0,1,3,26.0
2022-03-09,S001,P0001,26,24.92,15,339,24.38,0,Sunny,32.0,348.0,192.0,190.66666666666666,0.5400000000000027,2,3,2022,0,0,3,147.0
2022-03-10,S001,P0001,147,24.69,10,285,20.0,1,Snowy,26.0,32.0,348.0,135.33333333333334,4.690000000000001,3,3,2022,0,1,2,141.0
2022-03-11,S001,P0001,141,46.7,10,348,50.28,1,Snowy,147.0,26.0,32.0,68.33333333333333,-3.5799999999999983,4,3,2022,0,1,2,194.0
2022-03-12,S001,P0001,194,91.91,5,210,90.84,1,Rainy,141.0,147.0,26.0,104.66666666666667,1.0699999999999932,5,3,2022,1,1,1,95.0
2022-03-13,S001,P0001,95,87.0,15,327,91.43,0,Sunny,194.0,141.0,147.0,160.66666666666666,-4.430000000000007,6,3,2022,1,0,3,74.0
2022-03-14,S001,P0001,74,59.11,10,84,58.7,0,Snowy,95.0,194.0,141.0,143.33333333333334,0.4099999999999966,0,3,2022,0,0,2,78.0
2022-03-15,S001,P0001,78,69.17,20,172,70.1,0,Cloudy,74.0,95.0,194.0,121.0,-0.9299999999999926,1,3,2022,0,0,0,230.0
2022-03-16,S001,P0001,230,37.52,5,252,36.49,0,Cloudy,78.0,74.0,95.0,82.33333333333333,1.0300000000000011,2,3,2022,0,0,0,89.0
2022-03-17,S001,P0001,89,30.81,15,124,30.91,1,Sunny,230.0,78.0,74.0,127.33333333333333,-0.10000000000000142,3,3,2022,0,1,3,150.0
2022-03-18,S001,P0001,150,47.2,15,282,43.88,0,Snowy,89.0,230.0,78.0,132.33333333333334,3.3200000000000003,4,3,2022,0,0,2,285.0
2022-03-19,S001,P0001,285,17.8,20,388,20.76,0,Rainy,150.0,89.0,230.0,156.33333333333334,-2.960000000000001,5,3,2022,1,0,1,40.0
2022-03-20,S001,P0001,40,33.07,15,83,29.26,1,Snowy,285.0,150.0,89.0,174.66666666666666,3.8099999999999987,6,3,2022,1,1,2,58.0
2022-03-21,S001,P0001,58,75.75,15,100,77.25,1,Sunny,40.0,285.0,150.0,158.33333333333334,-1.5,0,3,2022,0,1,3,114.0
2022-03-22,S001,P0001,114,69.56,5,163,67.3,1,Snowy,58.0,40.0,285.0,127.66666666666667,2.260000000000005,1,3,2022,0,1,2,21.0
2022-03-23,S001,P0001,21,86.7,0,82,87.39,1,Sunny,114.0,58.0,40.0,70.66666666666667,-0.6899999999999977,2,3,2022,0,1,3,35.0
2022-03-24,S001,P0001,35,12.46,5,279,15.25,0,Cloudy,21.0,114.0,58.0,64.33333333333333,-2.789999999999999,3,3,2022,0,0,0,31.0
2022-03-25,S001,P0001,31,45.18,0,441,40.48,0,Rainy,35.0,21.0,114.0,56.666666666666664,4.700000000000003,4,3,2022,0,0,1,4.0
2022-03-26,S001,P0001,4,81.93,20,81,84.51,1,Snowy,31.0,35.0,21.0,29.0,-2.5799999999999983,5,3,2022,1,1,2,289.0
2022-03-27,S001,P0001,289,78.21,10,324,81.17,0,Snowy,4.0,31.0,35.0,23.333333333333332,-2.960000000000008,6,3,2022,1,0,2,49.0
2022-03-28,S001,P0001,49,68.54,0,393,65.85,0,Rainy,289.0,4.0,31.0,108.0,2.690000000000012,0,3,2022,0,0,1,3.0
2022-03-29,S001,P0001,3,65.91,5,110,63.5,0,Rainy,49.0,289.0,4.0,114.0,2.4099999999999966,1,3,2022,0,0,1,136.0
2022-03-30,S001,P0001,136,32.07,0,339,35.44,0,Snowy,3.0,49.0,289.0,113.66666666666667,-3.3699999999999974,2,3,2022,0,0,2,85.0
2022-03-31,S001,P0001,85,63.02,0,358,61.79,0,Sunny,136.0,3.0,49.0,62.666666666666664,1.230000000000004,3,3,2022,0,0,3,101.0
2022-04-01,S001,P0001,101,44.62,0,215,43.36,1,Cloudy,85.0,136.0,3.0,74.66666666666667,1.259999999999998,4,4,2022,0,1,0,70.0
2022-04-02,S001,P0001,70,81.11,15,200,85.3,1,Sunny,101.0,85.0,136.0,107.33333333333333,-4.189999999999998,5,4,2022,1,1,3,32.0
2022-04-03,S001,P0001,32,51.04,15,208,51.16,0,Snowy,70.0,101.0,85.0,85.33333333333333,-0.11999999999999744,6,4,2022,1,0,2,54.0
2022-04-04,S001,P0001,54,70.04,10,70,74.56,1,Sunny,32.0,70.0,101.0,67.66666666666667,-4.519999999999996,0,4,2022,0,1,3,165.0
2022-04-05,S001,P0001,165,90.24,10,309,94.06,0,Snowy,54.0,32.0,70.0,52.0,-3.8200000000000074,1,4,2022,0,0,2,158.0
2022-04-06,S001,P0001,158,23.65,10,322,20.38,0,Rainy,165.0,54.0,32.0,83.66666666666667,3.2699999999999996,2,4,2022,0,0,1,26.0
2022-04-07,S001,P0001,26,67.82,0,84,62.89,1,Snowy,158.0,165.0,54.0,125.66666666666667,4.929999999999993,3,4,2022,0,1,2,130.0
2022-04-08,S001,P0001,130,27.4,15,322,24.46,0,Rainy,26.0,158.0,165.0,116.33333333333333,2.9399999999999977,4,4,2022,0,0,1,121.0
2022-04-09,S001,P0001,121,69.13,15,435,65.28,1,Cloudy,130.0,26.0,158.0,104.66666666666667,3.8499999999999943,5,4,2022,1,1,0,282.0
2022-04-10,S001,P0001,282,96.48,5,292,92.65,0,Sunny,121.0,130.0,26.0,92.33333333333333,3.8299999999999983,6,4,2022,1,0,3,358.0
2022-04-11,S001,P0001,358,46.43,0,376,50.45,1,Rainy,282.0,121.0,130.0,177.66666666666666,-4.020000000000003,0,4,2022,0,1,1,238.0
2022-04-12,S001,P0001,238,74.25,15,381,78.42,0,Rainy,358.0,282.0,121.0,253.66666666666666,-4.170000000000002,1,4,2022,0,0,1,279.0
2022-04-13,S001,P0001,279,78.35,10,433,76.87,1,Snowy,238.0,358.0,282.0,292.6666666666667,1.4799999999999898,2,4,2022,0,1,2,108.0
2022-04-14,S001,P0001,108,83.64,20,241,79.51,0,Sunny,279.0,238.0,358.0,291.6666666666667,4.1299999999999955,3,4,2022,0,0,3,32.0
2022-04-15,S001,P0001,32,95.63,10,136,90.95,1,Sunny,108.0,279.0,238.0,208.33333333333334,4.679999999999993,4,4,2022,0,1,3,183.0
2022-04-16,S001,P0001,183,74.81,10,445,78.85,0,Cloudy,32.0,108.0,279.0,139.66666666666666,-4.039999999999992,5,4,2022,1,0,0,365.0
2022-04-17,S001,P0001,365,68.35,5,396,71.54,0,Cloudy,183.0,32.0,108.0,107.66666666666667,-3.190000000000012,6,4,2022,1,0,0,47.0
2022-04-18,S001,P0001,47,53.83,20,319,50.51,0,Rainy,365.0,183.0,32.0,193.33333333333334,3.3200000000000003,0,4,2022,0,0,1,41.0
2022-04-19,S001,P0001,41,66.6,15,60,62.37,1,Rainy,47.0,365.0,183.0,198.33333333333334,4.229999999999997,1,4,2022,0,1,1,51.0
2022-04-20,S001,P0001,51,14.9,20,164,13.27,1,Cloudy,41.0,47.0,365.0,151.0,1.6300000000000008,2,4,2022,0,1,0,107.0
2022-04-21,S001,P0001,107,84.81,0,320,87.15,1,Rainy,51.0,41.0,47.0,46.333333333333336,-2.3400000000000034,3,4,2022,0,1,1,405.0
2022-04-22,S001,P0001,405,93.83,15,407,97.11,0,Snowy,107.0,51.0,41.0,66.33333333333333,-3.280000000000001,4,4,2022,0,0,2,212.0
2022-04-23,S001,P0001,212,36.5,15,291,41.26,1,Sunny,405.0,107.0,51.0,187.66666666666666,-4.759999999999998,5,4,2022,1,1,3,14.0
2022-04-24,S001,P0001,14,20.46,15,81,23.22,1,Snowy,212.0,405.0,107.0,241.33333333333334,-2.759999999999998,6,4,2022,1,1,2,45.0
2022-04-25,S001,P0001,45,71.32,5,52,73.35,1,Cloudy,14.0,212.0,405.0,210.33333333333334,-2.030000000000001,0,4,2022,0,1,0,452.0
2022-04-26,S001,P0001,452,29.14,10,489,29.25,0,Cloudy,45.0,14.0,212.0,90.33333333333333,-0.10999999999999943,1,4,2022,0,0,0,288.0
2022-04-27,S001,P0001,288,43.71,15,422,44.73,0,Cloudy,452.0,45.0,14.0,170.33333333333334,-1.019999999999996,2,4,2022,0,0,0,334.0
2022-04-28,S001,P0001,334,47.06,10,348,49.09,1,Rainy,288.0,452.0,45.0,261.6666666666667,-2.030000000000001,3,4,2022,0,1,1,27.0
2022-04-29,S001,P0001,27,34.81,0,319,38.71,1,Rainy,334.0,288.0,452.0,358.0,-3.8999999999999986,4,4,2022,0,1,1,149.0
2022-04-30,S001,P0001,149,20.41,20,162,23.49,0,Cloudy,27.0,334.0,288.0,216.33333333333334,-3.0799999999999983,5,4,2022,1,0,0,0.0
2022-05-01,S001,P0001,0,36.91,10,125,37.85,0,Cloudy,149.0,27.0,334.0,170.0,-0.9400000000000048,6,5,2022,1,0,0,1.0
2022-05-02,S001,P0001,1,37.57,0,193,37.35,1,Rainy,0.0,149.0,27.0,58.666666666666664,0.21999999999999886,0,5,2022,0,1,1,18.0
2022-05-03,S001,P0001,18,47.42,20,231,50.88,1,Sunny,1.0,0.0,149.0,50.0,-3.460000000000001,1,5,2022,0,1,3,127.0
2022-05-04,S001,P0001,127,30.44,20,383,25.63,0,Cloudy,18.0,1.0,0.0,6.333333333333333,4.810000000000002,2,5,2022,0,0,0,49.0
2022-05-05,S001,P0001,49,21.29,20,252,23.42,0,Rainy,127.0,18.0,1.0,48.666666666666664,-2.1300000000000026,3,5,2022,0,0,1,26.0
2022-05-06,S001,P0001,26,87.62,10,253,89.03,1,Rainy,49.0,127.0,18.0,64.66666666666667,-1.4099999999999966,4,5,2022,0,1,1,39.0
2022-05-07,S001,P0001,39,65.44,20,334,69.95,1,Sunny,26.0,49.0,127.0,67.33333333333333,-4.510000000000005,5,5,2022,1,1,3,6.0
2022-05-08,S001,P0001,6,30.86,5,103,35.02,0,Snowy,39.0,26.0,49.0,38.0,-4.160000000000004,6,5,2022,1,0,2,173.0
2022-05-09,S001,P0001,173,55.13,15,195,52.38,0,Sunny,6.0,39.0,26.0,23.666666666666668,2.75,0,5,2022,0,0,3,19.0
2022-05-10,S001,P0001,19,60.66,15,118,55.68,0,Snowy,173.0,6.0,39.0,72.66666666666667,4.979999999999997,1,5,2022,0,0,2,19.0
2022-05-11,S001,P0001,19,23.93,10,185,25.74,1,Rainy,19.0,173.0,6.0,66.0,-1.8099999999999987,2,5,2022,0,1,1,10.0
2022-05-12,S001,P0001,10,94.22,0,426,95.15,0,Sunny,19.0,19.0,173.0,70.33333333333333,-0.9300000000000068,3,5,2022,0,0,3,357.0
2022-05-13,S001,P0001,357,14.24,5,496,12.13,0,Cloudy,10.0,19.0,19.0,16.0,2.1099999999999994,4,5,2022,0,0,0,226.0
2022-05-14,S001,P0001,226,61.31,10,470,61.59,0,Sunny,357.0,10.0,19.0,128.66666666666666,-0.28000000000000114,5,5,2022,1,0,3,213.0
2022-05-15,S001,P0001,213,39.12,5,392,43.33,1,Snowy,226.0,357.0,10.0,197.66666666666666,-4.210000000000001,6,5,2022,1,1,2,121.0
2022-05-16,S001,P0001,121,97.06,15,179,97.63,1,Sunny,213.0,226.0,357.0,265.3333333333333,-0.5699999999999932,0,5,2022,0,1,3,191.0
2022-05-17,S001,P0001,191,82.48,15,264,80.01,0,Snowy,121.0,213.0,226.0,186.66666666666666,2.469999999999999,1,5,2022,0,0,2,148.0
2022-05-18,S001,P0001,148,22.09,20,373,19.85,1,Snowy,191.0,121.0,213.0,175.0,2.2399999999999984,2,5,2022,0,1,2,17.0
2022-05-19,S001,P0001,17,34.33,10,81,32.74,0,Sunny,148.0,191.0,121.0,153.33333333333334,1.5899999999999963,3,5,2022,0,0,3,75.0
2022-05-20,S001,P0001,75,85.99,15,340,90.45,0,Cloudy,17.0,148.0,191.0,118.66666666666667,-4.460000000000008,4,5,2022,0,0,0,314.0
2022-05-21,S001,P0001,314,75.6,0,494,76.8,1,Sunny,75.0,17.0,148.0,80.0,-1.2000000000000028,5,5,2022,1,1,3,46.0
2022-05-22,S001,P0001,46,73.44,5,175,68.48,0,Rainy,314.0,75.0,17.0,135.33333333333334,4.959999999999994,6,5,2022,1,0,1,66.0
2022-05-23,S001,P0001,66,19.09,5,114,23.61,0,Snowy,46.0,314.0,75.0,145.0,-4.52,0,5,2022,0,0,2,173.0
2022-05-24,S001,P0001,173,15.58,10,459,11.36,1,Snowy,66.0,46.0,314.0,142.0,4.220000000000001,1,5,2022,0,1,2,68.0
2022-05-25,S001,P0001,68,45.81,10,78,43.73,0,Cloudy,173.0,66.0,46.0,95.0,2.0800000000000054,2,5,2022,0,0,0,200.0
2022-05-26,S001,P0001,200,14.76,5,211,14.03,1,Sunny,68.0,173.0,66.0,102.33333333333333,0.7300000000000004,3,5,2022,0,1,3,32.0
2022-05-27,S001,P0001,32,19.35,5,94,24.18,1,Cloudy,200.0,68.0,173.0,147.0,-4.829999999999998,4,5,2022,0,1,0,393.0
2022-05-28,S001,P0001,393,47.5,20,434,45.41,0,Sunny,32.0,200.0,68.0,100.0,2.0900000000000034,5,5,2022,1,0,3,11.0
2022-05-29,S001,P0001,11,68.32,0,94,72.05,0,Cloudy,393.0,32.0,200.0,208.33333333333334,-3.730000000000004,6,5,2022,1,0,0,307.0
2022-05-30,S001,P0001,307,15.94,0,372,16.59,1,Rainy,11.0,393.0,32.0,145.33333333333334,-0.6500000000000004,0,5,2022,0,1,1,109.0
2022-05-31,S001,P0001,109,52.95,10,111,50.25,1,Snowy,307.0,11.0,393.0,237.0,2.700000000000003,1,5,2022,0,1,2,198.0
2022-06-01,S001,P0001,198,11.52,15,461,8.27,1,Rainy,109.0,307.0,11.0,142.33333333333334,3.25,2,6,2022,0,1,1,385.0
2022-06-02,S001,P0001,385,98.99,10,386,96.79,1,Snowy,198.0,109.0,307.0,204.66666666666666,2.1999999999999886,3,6,2022,0,1,2,25.0
2022-06-03,S001,P0001,25,54.62,10,53,58.21,0,Rainy,385.0,198.0,109.0,230.66666666666666,-3.5900000000000034,4,6,2022,0,0,1,48.0
2022-06-04,S001,P0001,48,67.67,20,72,66.42,0,Cloudy,25.0,385.0,198.0,202.66666666666666,1.25,5,6,2022,1,0,0,164.0
2022-06-05,S001,P0001,164,84.43,15,265,80.65,0,Sunny,48.0,25.0,385.0,152.66666666666666,3.780000000000001,6,6,2022,1,0,3,113.0
2022-06-06,S001,P0001,113,94.24,15,219,96.41,0,Rainy,164.0,48.0,25.0,79.0,-2.1700000000000017,0,6,2022,0,0,1,237.0
2022-06-07,S001,P0001,237,92.79,5,256,97.71,0,Cloudy,113.0,164.0,48.0,108.33333333333333,-4.9199999999999875,1,6,2022,0,0,0,90.0
2022-06-08,S001,P0001,90,98.92,10,209,103.21,0,Rainy,237.0,113.0,164.0,171.33333333333334,-4.289999999999992,2,6,2022,0,0,1,259.0
2022-06-09,S001,P0001,259,15.22,10,403,17.12,0,Sunny,90.0,237.0,113.0,146.66666666666666,-1.9000000000000004,3,6,2022,0,0,3,158.0
2022-06-10,S001,P0001,158,51.57,5,163,55.42,0,Rainy,259.0,90.0,237.0,195.33333333333334,-3.8500000000000014,4,6,2022,0,0,1,254.0
2022-06-11,S001,P0001,254,13.91,5,374,10.4,0,Rainy,158.0,259.0,90.0,169.0,3.51,5,6,2022,1,0,1,315.0
2022-06-12,S001,P0001,315,37.8,15,469,35.55,1,Cloudy,254.0,158.0,259.0,223.66666666666666,2.25,6,6,2022,1,1,0,58.0
2022-06-13,S001,P0001,58,55.8,20,91,58.37,0,Snowy,315.0,254.0,158.0,242.33333333333334,-2.5700000000000003,0,6,2022,0,0,2,109.0
2022-06-14,S001,P0001,109,35.77,5,133,32.59,1,Sunny,58.0,315.0,254.0,209.0,3.1799999999999997,1,6,2022,0,1,3,98.0
2022-06-15,S001,P0001,98,91.53,15,124,90.63,0,Snowy,109.0,58.0,315.0,160.66666666666666,0.9000000000000057,2,6,2022,0,0,2,260.0
2022-06-16,S001,P0001,260,59.27,20,290,61.2,1,Rainy,98.0,109.0,58.0,88.33333333333333,-1.9299999999999997,3,6,2022,0,1,1,53.0
2022-06-17,S001,P0001,53,75.73,15,289,78.27,0,Sunny,260.0,98.0,109.0,155.66666666666666,-2.539999999999992,4,6,2022,0,0,3,31.0
2022-06-18,S001,P0001,31,25.77,15,390,23.18,1,Snowy,53.0,260.0,98.0,137.0,2.59,5,6,2022,1,1,2,253.0
2022-06-19,S001,P0001,253,90.94,0,478,86.82,0,Sunny,31.0,53.0,260.0,114.66666666666667,4.1200000000000045,6,6,2022,1,0,3,205.0
2022-06-20,S001,P0001,205,86.86,10,338,90.39,0,Rainy,253.0,31.0,53.0,112.33333333333333,-3.530000000000001,0,6,2022,0,0,1,191.0
2022-06-21,S001,P0001,191,79.86,0,403,76.93,1,Snowy,205.0,253.0,31.0,163.0,2.9299999999999926,1,6,2022,0,1,2,238.0
2022-06-22,S001,P0001,238,19.44,5,264,16.29,1,Snowy,191.0,205.0,253.0,216.33333333333334,3.150000000000002,2,6,2022,0,1,2,268.0
2022-06-23,S001,P0001,268,13.76,20,492,14.59,0,Snowy,238.0,191.0,205.0,211.33333333333334,-0.8300000000000001,3,6,2022,0,0,2,95.0
2022-06-24,S001,P0001,95,96.38,20,321,95.65,1,Sunny,268.0,238.0,191.0,232.33333333333334,0.7299999999999898,4,6,2022,0,1,3,202.0
